,P,F
-2583,2.2237870068715274e-29,1.7784956025858475e-28
-2582,6.096794398781729e-29,2.269897712380307e-28
-2581,6.096907100484628e-29,2.7598781175904858e-28
-2580,6.121980394452197e-29,3.058709084452807e-28
-2579,6.126013286866335e-29,3.3577719088052233e-28
-2578,6.153747997305431e-29,3.6581190477943322e-28
-2577,6.172815174462424e-29,3.9601980004436033e-28
-2576,7.315825570241842e-29,4.374119497282528e-28
-2575,7.320907365183825e-29,4.783484940980207e-28
-2574,8.243512353242938e-29,5.227687299287501e-28
-2573,8.566093946389897e-29,5.704113059088999e-28
-2572,1.2133613154993173e-28,6.474197166350513e-28
-2571,1.2135753693777296e-28,7.245204666893562e-28
-2570,1.2192546506551568e-28,7.84338973592977e-28
-2569,1.2195644673471308e-28,8.441472948991521e-28
-2568,1.2807271685409612e-28,9.097706913899622e-28
-2567,1.2852290224805524e-28,9.755693979301118e-28
-2566,1.3139218800459063e-28,1.0409260265130898e-27
-2565,1.3337557647363033e-28,1.1081397507795768e-27
-2564,1.8318285605516098e-28,1.2226933836932901e-27
-2563,1.836814351324529e-28,1.33807558361105e-27
-2562,2.7113262142734342e-28,1.515745730155567e-27
-2561,2.7114367864350296e-28,1.695014884119283e-27
-2560,2.717285876958152e-28,1.8311371653886227e-27
-2559,2.722508922606074e-28,1.9677533716414274e-27
-2558,2.8198758606569336e-28,2.1135190341912537e-27
-2557,2.8242886637434965e-28,2.2593390901962112e-27
-2556,3.5137759889627505e-28,2.4690049325257624e-27
-2555,3.5320474707500837e-28,2.6789646041649425e-27
-2554,3.5801884485189596e-28,2.8583229775861353e-27
-2553,3.773863701323565e-28,3.0570705799919456e-27
-2552,8.589573874275498e-28,3.725226633816029e-27
-2551,8.590832716231557e-28,4.4051669433335056e-27
-2550,8.667802778596822e-28,4.851947730276201e-27
-2549,8.6695292091166e-28,5.298513127087013e-27
-2548,8.809973003672088e-28,5.755183729184822e-27
-2547,8.868588952183956e-28,6.2173806621861865e-27
-2546,9.86326768314107e-28,6.768843700839469e-27
-2545,9.907951435238187e-28,7.322722588170003e-27
-2544,1.2933984953164328e-27,8.127243329253457e-27
-2543,1.311237735376682e-27,8.95811678669019e-27
-2542,1.3533755599613419e-27,9.670942657073022e-27
-2541,1.3536965676857564e-27,1.0385104009378015e-26
-2540,1.3559985235287449e-27,1.1080317586571873e-26
-2539,1.359075620397943e-27,1.1778473202200165e-26
-2538,1.4907114074757486e-27,1.2605445391329904e-26
-2537,1.4924588144827623e-27,1.3431853755628777e-26
-2536,1.650569264231602e-27,1.4349666932537346e-26
-2535,1.6752398420856554e-27,1.529202585375358e-26
-2534,1.8235371000564756e-27,1.6291469633587662e-26
-2533,1.867276398145338e-27,1.7339640392289772e-26
-2532,4.761502247683337e-27,2.1186812420668324e-26
-2531,4.761807784108126e-27,2.5168153156163314e-26
-2530,4.8085560503329554e-27,2.774896944031188e-26
-2529,4.8138452180970265e-27,3.033372872811038e-26
-2528,4.8353028702417e-27,3.2913770187421526e-26
-2527,4.8699217876983084e-27,3.5528082102895877e-26
-2526,6.211727152791083e-27,3.9455464838511053e-26
-2525,6.213809663233109e-27,4.338722434848068e-26
-2524,6.921251715129203e-27,4.735450500263732e-26
-2523,7.162088477375069e-27,5.159667090069075e-26
-2522,8.603537025670941e-27,5.681197889092119e-26
-2521,8.607579499647452e-27,6.210462514784772e-26
-2520,8.68669666278501e-27,6.675345656249435e-26
-2519,8.69371119174608e-27,7.14065879796323e-26
-2518,9.489573151975284e-27,7.681242831142307e-26
-2517,9.543417294089102e-27,8.227549984087221e-26
-2516,9.755992215516222e-27,8.752568045797855e-26
-2515,9.904143301854711e-27,9.292450370399639e-26
-2514,1.1927252354260784e-26,1.0017043459774983e-25
-2513,1.194834558122815e-26,1.0754936312775282e-25
-2512,1.852563417194572e-26,1.204839924326905e-25
-2511,1.8527366710496143e-26,1.3386365572827551e-25
-2510,1.8637153418370392e-26,1.4406359795529696e-25
-2509,1.8705239394235222e-26,1.5433062159068418e-25
-2508,1.942986074937273e-26,1.6523246840272828e-25
-2507,1.950867385207876e-26,1.7622004047491466e-25
-2506,2.7584885769694367e-26,1.948827839169721e-25
-2505,2.765858078425666e-26,2.13811853563739e-25
-2504,2.783621175843188e-26,2.2884612083764844e-25
-2503,2.9283947796472714e-26,2.453331365009278e-25
-2502,4.869393213131878e-26,2.804844083808439e-25
-2501,4.8717487855352187e-26,3.170818090455838e-25
-2500,4.978737772836852e-26,3.4503177968952517e-25
-2499,4.9800989049428225e-26,3.729825078155719e-25
-2498,5.16381355865297e-26,4.0222931464476532e-25
-2497,5.233264003631541e-26,4.32216416415579e-25
-2496,5.946253611737676e-26,4.680716722042958e-25
-2495,5.979735089084818e-26,5.044569842438917e-25
-2494,7.223100581730734e-26,5.495608306731982e-25
-2493,7.29519620917623e-26,5.963321780301447e-25
-2492,7.413956753158016e-26,6.377505877474364e-25
-2491,7.418626545868896e-26,6.792594772598537e-25
-2490,7.443222850891768e-26,7.203963513086394e-25
-2489,7.483261088817356e-26,7.619288479905099e-25
-2488,8.463243616689413e-26,8.129415362318628e-25
-2487,8.476636732114945e-26,8.644000703364218e-25
-2486,1.0316905952071302e-25,9.293033794744912e-25
-2485,1.041637678908224e-25,9.9603771002031e-25
-2484,1.0687649971147881e-25,1.0558423020931608e-24
-2483,1.101686766560048e-25,1.1191457173576013e-24
-2482,2.272295246401973e-25,1.2967293836785768e-24
-2481,2.2728539649418246e-25,1.485484220052899e-24
-2480,2.3377550410587263e-25,1.6221717776024098e-24
-2479,2.3417462133312376e-25,1.7593218814317903e-24
-2478,2.3518187990869046e-25,1.894045738711634e-24
-2477,2.392698604656638e-25,2.0328811166926175e-24
-2476,3.3517429233531356e-25,2.2651854136227724e-24
-2475,3.352207717974383e-25,2.5023314672386027e-24
-2474,3.6537823519212453e-25,2.721661726611331e-24
-2473,3.750907266670127e-25,2.953532569238295e-24
-2472,4.0188060452992696e-25,3.1929709944679225e-24
-2471,4.0245450527132203e-25,3.435441292510216e-24
-2470,4.1049080227769473e-25,3.6722633307306165e-24
-2469,4.113927350596068e-25,3.910045658800562e-24
-2468,4.708922577508207e-25,4.2028904703456306e-24
-2467,4.748197331579041e-25,4.502842338702018e-24
-2466,4.83890798695662e-25,4.78032822318098e-24
-2465,4.898786328318536e-25,5.064209264595732e-24
-2464,5.269558976851755e-25,5.3781092022913226e-24
-2463,5.275569848669574e-25,5.6962568141795834e-24
-2462,7.991466558306417e-25,6.26717868480474e-24
-2461,7.993440406496186e-25,6.869227488057533e-24
-2460,8.145352685359168e-25,7.350588661637338e-24
-2459,8.19627576504015e-25,7.837494988828682e-24
-2458,8.489917346022444e-25,8.34383121232734e-24
-2457,8.582049776462236e-25,8.861059466926062e-24
-2456,1.4344240092901259e-24,9.935714430270827e-24
-2455,1.4357667578958615e-24,1.1053330345849217e-23
-2454,1.4453077306442035e-24,1.1891812195912138e-23
-2453,1.5039278790793242e-24,1.278937482040942e-23
-2452,1.852383958603526e-24,1.4006882517395886e-23
-2451,1.8556914185202746e-24,1.5268564807427598e-23
-2450,1.963859655507402e-24,1.646258980687178e-23
-2449,1.964471630833605e-24,1.766046649958667e-23
-2448,2.103585375457024e-24,1.8943153874289095e-23
-2447,2.1537118095996674e-24,2.0286175818782303e-23
-2446,2.4387755969317273e-24,2.1822543724638676e-23
-2445,2.452478302763029e-24,2.339395599184845e-23
-2444,2.688740617370972e-24,2.5053617235117024e-23
-2443,2.7021539887131305e-24,2.675430405777719e-23
-2442,2.7645946418536663e-24,2.839384073282376e-23
-2441,2.769534733550538e-24,3.004024140739801e-23
-2440,2.7874711641765367e-24,3.16710630679174e-23
-2439,2.8173588940598227e-24,3.3332155628133595e-23
-2438,3.214840084971683e-24,3.5368648532120284e-23
-2437,3.220833708398769e-24,3.7442908221352603e-23
-2436,4.52846908761618e-24,4.062401311860621e-23
-2435,4.5464086574587916e-24,4.394575642007664e-23
-2434,4.564114629375146e-24,4.6624246435510085e-23
-2433,4.700425892854518e-24,4.9439787788362074e-23
-2432,6.834912539173107e-24,5.432835103309313e-23
-2431,6.84255243365037e-24,5.95177825081162e-23
-2430,7.496280505573517e-24,6.429029903397916e-23
-2429,7.512871524996506e-24,6.911337598189417e-23
-2428,7.547864462716808e-24,7.363780451358877e-23
-2427,7.842132508615967e-24,7.845811147606977e-23
-2426,1.165736015728931e-23,8.695206856093166e-23
-2425,1.1659057812699895e-23,9.582268742639129e-23
-2424,1.2305053968255637e-23,1.0343092880145315e-22
-2423,1.2479932629936896e-23,1.112957842113002e-22
-2422,1.2720508344995339e-23,1.1901142291984732e-22
-2421,1.2779834440749487e-23,1.2680072696427956e-22
-2420,1.332152599908014e-23,1.3498429724294126e-22
-2419,1.3388512984026147e-23,1.4326316883449738e-22
-2418,1.5823585299801038e-23,1.5367854726020372e-22
-2417,1.598504559469823e-23,1.6450189781143714e-22
-2416,1.618842245692581e-23,1.742478247094823e-22
-2415,1.6298137239971076e-23,1.8411696926716778e-22
-2414,1.6475161528225304e-23,1.9402008365402204e-22
-2413,1.650754833941635e-23,2.0396880856232384e-22
-2412,2.1913724672359164e-23,2.192203725127793e-22
-2411,2.1928799415076458e-23,2.352878508721525e-22
-2410,2.3443313348990535e-23,2.501616524690332e-22
-2409,2.3651568695612416e-23,2.6535348419825884e-22
-2408,2.418937871994199e-23,2.802419254247308e-22
-2407,2.484943135474005e-23,2.9584198477970176e-22
-2406,4.774240203038247e-23,3.338039829944829e-22
-2405,4.775155826269148e-23,3.745381605530959e-22
-2404,4.832365808073954e-23,4.043941375789497e-22
-2403,4.93986635588472e-23,4.35368889927556e-22
-2402,5.085562588041789e-23,4.671255584485052e-22
-2401,5.119435789027435e-23,4.993551004178885e-22
-2400,5.843429257952302e-23,5.379478946416006e-22
-2399,5.844879847352157e-23,5.771035967181653e-22
-2398,6.430092578861194e-23,6.184881282388043e-22
-2397,6.632564427077345e-23,6.625986080174907e-22
-2396,7.152409032968315e-23,7.081987777992024e-22
-2395,7.179609277929397e-23,7.546637092264682e-22
-2394,7.329859749177443e-23,7.99933570846123e-22
-2393,7.341946112797916e-23,8.454596728566528e-22
-2392,7.786819423629275e-23,8.946319018395916e-22
-2391,7.821528341433076e-23,9.445011135802e-22
-2390,7.902268329748643e-23,9.928139850304291e-22
-2389,8.024161625521373e-23,1.0423915666322173e-21
-2388,8.752971011657161e-23,1.0983851743297577e-21
-2387,8.767506899105813e-23,1.1554074868268002e-21
-2386,1.396190090415693e-22,1.260696838835578e-21
-2385,1.3970563796602035e-22,1.373453597675225e-21
-2384,1.4061773052444709e-22,1.4611168683883324e-21
-2383,1.4336588767772896e-22,1.5515882043421172e-21
-2382,1.5380625165304354e-22,1.6510821676365507e-21
-2381,1.5457090794580198e-22,1.7524847785161e-21
-2380,1.98131668270247e-22,1.891918996599361e-21
-2379,1.9845606600781347e-22,2.0359488966358995e-21
-2378,1.9992408083390446e-22,2.1595604709549156e-21
-2377,2.1177230793551847e-22,2.295130345485322e-21
-2376,2.8016019342165516e-22,2.4939926668898744e-21
-2375,2.8033329242372968e-22,2.702672022419504e-21
-2374,2.8847666415198886e-22,2.885229225957833e-21
-2373,2.8923627848132816e-22,3.06931266378041e-21
-2372,3.0129842244363125e-22,3.2610906202080973e-21
-2371,3.0536703403758623e-22,3.458156729422911e-21
-2370,3.2673026046520455e-22,3.6689159278335585e-21
-2369,3.294630445248712e-22,3.884481948593706e-21
-2368,3.75227785014809e-22,4.134146751464771e-21
-2367,3.7837629320253845e-22,4.393468892066399e-21
-2366,3.8178154616126637e-22,4.632334322083791e-21
-2365,3.824668468948511e-22,4.871962775448362e-21
-2364,3.857079194661246e-22,5.112867579739733e-21
-2363,3.8804134605745914e-22,5.356426305351752e-21
-2362,4.359377512144779e-22,5.6453218627875794e-21
-2361,4.366496952959252e-22,5.940571978697356e-21
-2360,5.364454788299132e-22,6.311505354416156e-21
-2359,5.403512569918711e-22,6.698216976602008e-21
-2358,5.429579861939581e-22,7.036313151104233e-21
-2357,5.69554758636552e-22,7.40108533401977e-21
-2356,9.798186093658198e-22,8.16563283288524e-21
-2355,9.803191176562082e-22,8.99803748349059e-21
-2354,1.0103194910898327e-21,9.655129120157666e-21
-2353,1.0159398116912315e-21,1.0320632156437804e-20
-2352,1.0421682156578777e-21,1.0995277260765222e-20
-2351,1.0652227918530752e-21,1.1696474725867659e-20
-2350,1.3473986867072273e-21,1.2657849980439683e-20
-2349,1.3476074879584087e-21,1.3654042102436792e-20
-2348,1.4659218849505996e-21,1.4627441091143445e-20
-2347,1.503611918266376e-21,1.565724188619576e-20
-2346,1.5304488435517328e-21,1.664252290666589e-20
-2345,1.5340642296728261e-21,1.763282561887119e-20
-2344,1.5686772651424838e-21,1.864293298911652e-20
-2343,1.5746761864993629e-21,1.9662669794548435e-20
-2342,1.754125892885667e-21,2.0842307302522423e-20
-2341,1.7686647781571843e-21,2.205901722016645e-20
-2340,1.7884293407603824e-21,2.3201056992899643e-20
-2339,1.8111793907917893e-21,2.4367162580592874e-20
-2338,1.8447844082634567e-21,2.5549608699489164e-20
-2337,1.8472082978488106e-21,2.67372761119233e-20
-2336,2.7908668326221574e-21,2.885134484336714e-20
-2335,2.7931737952599035e-21,3.114184452755193e-20
-2334,2.8536930601794036e-21,3.3020385667399693e-20
-2333,2.879978802118287e-21,3.493108673914149e-20
-2332,3.060874208591606e-21,3.698304610753495e-20
-2331,3.1121318068825073e-21,3.911398519646675e-20
-2330,4.801808308714245e-21,4.282589044421426e-20
-2329,4.803948298339585e-21,4.678598857480462e-20
-2328,4.863960390052755e-21,4.996089739745657e-20
-2327,5.083236509988151e-21,5.3362567110888935e-20
-2326,5.360837624985076e-21,5.694374858108535e-20
